district,chiefdom,population
Kailahun,Dea,13414
Kailahun,Jahn,10257
Kailahun,Jawie,50951
Kailahun,Kissi Kama,20421
Kailahun,Kissi Teng,45149
Kailahun,Kissi Tongi,50950
Kailahun,Kpeje Bongre,25169
Kailahun,Kpeje West,27544
Kailahun,Luawa,81044
Kailahun,Malema,37095
Kailahun,Mandu,30984
Kailahun,Njaluahun,50959
Kailahun,Penguia,26272
Kailahun,Upper Bambara,26848
Kailahun,Yawei,29322
Kenema,Dama,30751
Kenema,Dodo,22858
Kenema,Gaura,18217
Kenema,Gorama Mende,43359
Kenema,Kandu Leppiama,18229
Kenema,Koya,13482
Kenema,Langrama,3584
Kenema,Lower Bambara,76281
Kenema,Malegohun,20544
Kenema,Niawa,7815
Kenema,Nomo,5491
Kenema,Nongowa,45562
Kenema,Simbaru,17397
Kenema,Small Bo,29498
Kenema,Tunkia,36054
Kenema,Wandor,20326
Kenema,Kenema City,200443
Kono,Faima,15455
Kono,Gbane,24404
Kono,Gbane Kandor,11903
Kono,Gbense,15864
Kono,Goroma Kono,18294
Kono,Kamara,19412
Kono,Lei,26966
Kono,Mafindor,13703
Kono,Nimikoro,61225
Kono,Nimiyama,28168
Kono,Sandor,89879
Kono,Soa,39250
Kono,Tankora,8501
Kono,Toli,5046
Kono,Koidu City,128030
Bombali,Biriwa,47305
Bombali,Bombali Shebora,28979
Bombali,Bombali Siari,7434
Bombali,Gbanti,42130
Bombali,Gbendembu,18452
Bombali,Kamaranka,11852
Bombali,Magbaimba Ndorwahun,12688
Bombali,Makari,39215
Bombali,Mara,17451
Bombali,N'gowahun,20348
Bombali,Paki Masabong,19880
Bombali,Safroko Limba,31256
Bombali,Makani City,125970
Falaba,Delemandugu,21013
Falaba,Dembelia,10228
Falaba,Dembelia-Sinkunia,21449
Falaba,Folosaba,10691
Falaba,Kamadu Yiraia,13230
Falaba,Kebelia,8972
Falaba,Kulor Saradu,12375
Falaba,Mongo,15521
Falaba,Morifindugu,11302
Falaba,Neya,25239
Falaba,Nyedu,5090
Falaba,Sulima,26667
Falaba,Wollay Barawa,23576
Koinadugu,Diang,29063
Koinadugu,Gbonkobon Kayaka,7728
Koinadugu,Kalian,22267
Koinadugu,Kamukeh,12187
Koinadugu,Kasunko KaKellian,10824
Koinadugu,Nieni,32356
Koinadugu,Sengbe,24786
Koinadugu,Tamiso,6244
Koinadugu,Wara Wara Bafodia,22419
Koinadugu,Wara Wara Yagala,36145
Tonkolili,Dansogoia,24454
Tonkolili,Gbonkolenkeni/Masankong,17090
Tonkolili,Kafe,8685
Tonkolili,Kalanthuba,11410
Tonkolili,Kholifa Mabang,16666
Tonkolili,Kholifa Mamuntha/ Mayosso,15106
Tonkolili,Kholifa Rowala,51022
Tonkolili,Kunike Barina,25245
Tonkolili,Kunike Folawusu,23544
Tonkolili,Kunike Sanda,50871
Tonkolili,Malal,13502
Tonkolili,Mayeppoh,18726
Tonkolili,Poli,8150
Tonkolili,Sambaya,31993
Tonkolili,Simiria,27985
Tonkolili,Tane,33285
Tonkolili,Yele,23739
Tonkolili,Yoni Mabanta,33301
Tonkolili,Yoni Mamaila,79210
Kambia,Bramaia,23065
Kambia,Dixon,7990
Kambia,Gbinle,15443
Kambia,Khonimaka,13699
Kambia,Magbema,92165
Kambia,Mambolo,37952
Kambia,Masungbala,15679
Kambia,Munu Thalla,16118
Kambia,Samu,64790
Kambia,Tonko Limba,58573
Karene,Buya,13174
Karene,Dibia,15519
Karene,Gbanti,16639
Karene,Libeisaygahun/Gbombahun,11770
Karene,Mafonda Makerembay,4429
Karene,Romende,21107
Karene,Safroko,10980
Karene,Sanda Loko,45075
Karene,Sanda Magbolontor,23731
Karene,Sanda Tendaran,26228
Karene,Sella Limba,58401
Karene,Tambakha Simibungie,14030
Karene,Tambakha Yobangie,24463
Port Loko,Bakeh Loko,7773
Port Loko,Bureh,15666
Port Loko,Kaffu Bullom,120490
Port Loko,Kamasondo,29983
Port Loko,Kasseh,14511
Port Loko,Koya,85177
Port Loko,Loko Masama,48293
Port Loko,Maconteh,10002
Port Loko,Maforki,35954
Port Loko,Makama,9514
Port Loko,Marampa,59323
Port Loko,Masimera,40843
Port Loko,Thainkatopa,10299
Port Loko,Port Loko City,43037
Bo,Badjia,8135
Bo,Bagbo,25884
Bo,Bagbwe(Bagbe),20926
Bo,Boama,45835
Bo,Bongor,16305
Bo,Bumpe Ngao,44279
Bo,Gbo,5403
Bo,Jaiama,14993
Bo,Kakua,51074
Bo,Komboya,15623
Bo,Lugbu,25453
Bo,Niawa Lenga,13955
Bo,Selenga,9175
Bo,Tikonko,53206
Bo,Valunia,35558
Bo,Wonde,15305
Bo,Bo City,174369
Bonthe,Bendu-Cha,7168
Bonthe,Bum,24339
Bonthe,Dema,7411
Bonthe,Imperri,33394
Bonthe,Jong,33816
Bonthe,Kpanda Kemo,10438
Bonthe,Kwamebai Krim,14289
Bonthe,Nongoba Bullom,20060
Bonthe,Sittia,21347
Bonthe,Sogbeni,10863
Bonthe,Yawbeko,7581
Bonthe,Bonthe Urban,10075
Moyamba,Bagruwa,27623
Moyamba,Bumpeh,37445
Moyamba,Dasse,13217
Moyamba,Fakunya,27646
Moyamba,Kagboro,34862
Moyamba,Kaiyamba,25749
Moyamba,Kamajei,10165
Moyamba,Kongbora,10328
Moyamba,Kori,30514
Moyamba,Kowa,9752
Moyamba,Lower Banta,37317
Moyamba,Ribbi,33165
Moyamba,Timdale,10292
Moyamba,Upper Banta,10513
Pujehun,Barri,36905
Pujehun,Galliness,23310
Pujehun,Kabonde,3569
Pujehun,Kpaka,16468
Pujehun,Makpele,31080
Pujehun,Malen,49263
Pujehun,Mano Sakrim,12893
Pujehun,Panga,45771
Pujehun,Panga krim,8969
Pujehun,Pejeh (Futa peje),13600
Pujehun,Perri,31381
Pujehun,Soro Gbema,42292
Pujehun,Sowa,17136
Pujehun,Yakemu Kpukumu,13824
Western Area Rural,Koya Rural,70423
Western Area Rural,Mountain Rural,30488
Western Area Rural,Waterloo Rural,213778
Western Area Rural,York Rural,129581
Western Area Urban,Central 1,62499
Western Area Urban,Central 2,21413
Western Area Urban,East 1,61244
Western Area Urban,East 2,89530
Western Area Urban,East 3,448572
Western Area Urban,West 1,53981
Western Area Urban,West 2,130149
Western Area Urban,West 3,188576
